GEO_ID,NAME,B01003_001E
1600000US4830464,"Grand Prairie city, Texas",194522
1600000US1210275,"Cape Coral city, Florida",194504
1600000US1270600,"Tallahassee city, Florida",194503
1600000US3271400,"Sunrise Manor CDP, Nevada",192968
1600000US3223770,"Enterprise CDP, Nevada",191871
1600000US0150000,"Mobile city, Alabama",188710
1600000US4740000,"Knoxville city, Tennessee",187610
1600000US2270000,"Shreveport city, Louisiana",186815
1600000US2582000,"Worcester city, Massachusetts",185421
1600000US0653896,"Ontario city, California",184999
1600000US5374060,"Vancouver city, Washington",184452
1600000US4659020,"Sioux Falls city, South Dakota",183799
1600000US4714000,"Chattanooga city, Tennessee",182803
1600000US4810768,"Brownsville city, Texas",182781
1600000US1224000,"Fort Lauderdale city, Florida",182434
1600000US4459000,"Providence city, Rhode Island",179875
1600000US5156000,"Newport News city, Virginia",179225
1600000US0659451,"Rancho Cucamonga city, California",177614
1600000US0670098,"Santa Rosa city, California",176761
1600000US0454050,"Peoria city, Arizona",175960
1600000US0653322,"Oceanside city, California",175762
1600000US0622020,"Elk Grove city, California",174791
1600000US4164900,"Salem city, Oregon",174377
1600000US1255775,"Pembroke Pines city, Florida",173591
1600000US4123850,"Eugene city, Oregon",172614
1600000US0629000,"Garden Grove city, California",171670
1600000US3710740,"Cary town, North Carolina",171143
1600000US0827425,"Fort Collins city, Colorado",170245
1600000US0616350,"Corona city, California",169854
1600000US2970000,"Springfield city, Missouri",167864
1600000US2836000,"Jackson city, Mississippi",160532
1600000US5101000,"Alexandria city, Virginia",159428
1600000US0633000,"Hayward city, California",159202
1600000US4715160,"Clarksville city, Tennessee",158152
1600000US0843000,"Lakewood city, Colorado",157917
1600000US0640130,"Lancaster city, California",157604
1600000US0664224,"Salinas city, California",155473
1600000US0655156,"Palmdale city, California",155065
1600000US1232000,"Hollywood city, Florida",154802
1600000US2567000,"Springfield city, Massachusetts",153599
1600000US1349008,"Macon-Bibb County, Georgia",153159
1600000US7206593,"Bayamón zona urbana, Puerto Rico",152843
1600000US2036000,"Kansas City city, Kansas",152818
1600000US0677000,"Sunnyvale city, California",152710
1600000US0658072,"Pomona city, California",151696
1600000US4839148,"Killeen city, Texas",151685
1600000US0622804,"Escondido city, California",151619
